Kode Produk,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,Cluster
P81,0,120,200,0,0,167,200,96,0,198,0,182,192,0,48,242,0,12,150,100,100,163,94,256,1
P82,73,84,102,57,108,91,95,113,95,67,100,92,101,87,127,158,79,96,121,84,153,56,64,73,1
P83,78,151,50,2,0,2,50,37,114,130,100,55,48,2,5,103,0,0,100,3,101,2,45,0,0
P84,0,0,0,0,0,0,0,0,38,50,0,48,0,0,0,50,0,0,50,0,50,0,23,0,0
P85,0,2,0,0,0,2,6,0,10,0,0,0,2,10,30,21,0,0,0,0,0,0,0,0,0
P86,660,871,454,893,768,494,901,679,963,715,862,881,1218,649,1108,557,577,608,565,974,692,867,942,581,4
P87,41,91,28,55,43,20,68,26,67,65,43,28,39,33,48,36,48,23,51,54,26,30,37,61,0
P88,642,1365,1347,394,1119,534,618,353,833,270,502,645,518,810,689,443,194,110,684,546,1092,492,356,597,4
P89,1000,710,1011,960,1122,645,1215,861,902,564,631,3,1510,666,1603,336,813,1087,1102,1074,700,2461,1353,253,4
P90,0,0,0,0,20,0,0,0,0,0,0,0,0,300,0,0,0,158,0,0,160,24,120,0,0
P91,0,288,178,0,42,0,453,0,0,400,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
P92,266,379,143,337,146,342,324,286,207,259,312,131,368,607,495,163,394,114,367,163,409,192,399,136,1
P93,0,0,10,50,0,40,0,50,30,0,10,0,5,6,0,52,0,0,0,0,0,36,0,0,0
P94,0,4,-3,0,2,1,2,13,5,1,12,0,1,1,0,59,45,3,0,8,10,0,0,0,0
P95,0,0,0,0,0,0,0,0,0,0,1,0,15,5,20,9,23,34,29,21,28,31,31,35,0
P96,0,0,0,0,0,5,10,0,3,0,1,0,0,1,0,3,0,0,0,-2,0,0,0,0,0
P97,0,0,0,2,3,1,22,11,21,40,40,36,41,30,33,11,14,41,103,95,70,245,61,28,0
P98,1,3,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
P99,43,36,27,8,21,25,20,23,28,36,35,34,37,19,13,32,21,21,20,44,61,43,40,49,0
P100,27,22,2,0,21,21,4,43,0,38,11,19,2,1,2,4,6,3,6,2,9,10,2,2,0
P101,0,0,0,0,0,1,8,0,1,6,9,15,5,25,24,0,14,12,17,10,10,0,0,2,0
P102,36,40,0,28,42,40,20,20,10,1,0,10,8,0,5,0,0,0,2,0,0,-2,0,0,0
P103,72,42,69,69,95,31,36,52,37,67,71,37,83,74,60,53,22,45,59,55,60,30,55,56,0
P104,15,35,20,20,3,26,40,40,30,0,40,19,30,20,40,0,23,20,20,10,20,0,30,20,0
P105,1,2,-2,1,5,3,4,0,7,6,2,12,13,5,5,5,0,0,3,0,0,1,2,0,0
P106,0,0,0,0,0,0,3,43,11,76,27,26,36,140,240,220,130,90,228,202,25,137,227,227,1
P107,0,0,0,0,0,0,0,8,2,29,35,5,21,19,28,30,27,20,6,5,6,12,3,0,0
P108,0,0,0,0,0,0,0,1,2,5,3,1,6,2,4,0,1,0,0,2,5,-4,1,1,0
P109,64,78,63,98,120,66,82,107,112,140,113,100,118,85,97,78,83,115,92,98,86,115,97,142,1
P110,0,0,7,27,24,22,26,33,3,14,27,6,8,11,31,29,5,6,0,3,6,12,3,0,0
P111,386,341,315,532,289,284,317,542,186,145,381,106,374,258,1043,318,207,264,327,155,176,418,341,181,1
P112,10,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
P113,182,183,201,112,209,98,185,311,265,325,284,246,403,167,240,149,113,203,140,161,191,194,200,274,1
P114,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
P115,0,16,123,167,187,148,167,125,170,174,229,156,234,196,185,163,120,107,155,89,91,178,150,108,1
P116,249,140,197,162,139,202,211,47,90,50,100,132,71,60,109,111,170,70,77,20,72,0,96,56,1
P117,61,105,60,55,74,65,104,46,70,74,73,56,189,50,104,66,43,41,65,66,66,51,70,50,1
P118,664,724,618,593,764,573,749,727,718,767,620,625,761,631,694,577,594,389,414,622,625,529,633,687,4
P119,15,23,15,3,13,10,12,24,7,3,8,2,4,17,26,23,2,4,7,4,2,3,21,14,0
P120,26,2,30,27,2,24,1,2,5,34,5,0,20,0,25,0,1,0,2,4,2,4,1,2,0
P121,29,-29,72,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,24,12,0,9,-8,5,0
P122,264,327,202,273,201,152,171,117,183,150,280,188,293,205,288,110,50,90,70,24,28,72,65,65,1
P123,38,6,12,7,3,8,8,13,7,14,6,6,11,5,8,5,4,9,1,1,4,9,4,19,0
P124,12,2,6,3,7,10,5,5,15,0,20,6,11,7,22,5,18,2,13,14,0,2,10,23,0
P125,120,254,94,35,310,178,264,105,6,153,267,6,140,302,520,380,997,1086,2862,2763,5597,2573,5687,5273,4
P126,55,111,130,96,121,102,141,91,84,78,87,79,103,58,64,77,38,51,122,40,51,83,113,71,1
P127,40,16,10,10,0,0,20,0,0,0,10,20,20,5,5,0,0,0,0,0,0,0,0,0,0
P128,17,30,4,12,11,19,13,15,10,0,-6,4,0,12,0,1,-3,-2,3,5,0,1,0,0,0
P129,0,0,0,0,0,5,16,61,27,73,77,115,81,80,56,10,43,22,42,85,13,45,58,68,0
P130,64,70,20,16,8,31,47,53,41,59,35,27,44,36,16,14,38,29,22,36,13,6,38,24,0
P131,10,-8,-4,-4,-3,-15,0,-3,0,0,100,0,0,0,0,20,180,0,0,0,100,0,0,100,0
P132,40,25,37,24,34,20,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,0,0
P133,84,82,52,64,97,0,41,-4,31,55,27,28,30,40,28,10,23,43,25,22,12,12,36,47,0
